,CPI,employees_construction,GDP,HCAI_GOVT,HCAI_GSE,HCAI_PP,home-ownership-rate,industrial_production_cement,0,MORTGAGE30US,pvt_owned_house_under_const,nonresidential_const_val,permits,house_units_completed,producer_price_index_concrete_brick,residential_const_val,retail_sales_home_furnishing_stores,target,UNRATE,unrate_construction
2017-09-30,0.529490589,7003,19774.873,11.314,2.896,2.545,63.4,96.0601,2572.33,3.805,1093.0,438373,1257,1108.0,248.0,542523,9496,193.827,4.2,4.7
2017-10-31,-0.06320421,7029,19882.965,11.411,2.927,2.584,63.43,98.202,2474.33,3.895,1101.0,439387,1346,1191.0,248.0,536844,9804,194.801,4.1,4.5
2017-11-30,0.002432469,7072,19969.885,11.461,2.937,2.564,63.46,102.1896,2474.33,3.922,1105.0,439051,1302,1180.0,248.0,560535,9937,195.881,4.2,5.0
2017-12-31,-0.058783228,7104,20056.805,11.511,2.947,2.544,63.49,102.0094,2474.33,3.95,1100.0,444967,1309,1203.0,248.0,563267,9960,197.043,4.1,5.9
2018-01-31,0.544774545,7107,20143.716,11.558,2.961,2.518,63.6,100.8531,2476.0,4.032500000000001,1106.0,469639,1352,1204.0,230.9,571783,9875,198.172,4.0,7.3
2018-02-28,0.453468997,7194,20259.976,11.608,2.961,2.538,63.7,101.2208,2476.0,4.33,1111.0,480699,1332,1290.0,230.9,578937,9910,199.133,4.1,7.8
2018-03-31,0.22611259,7203,20376.236,11.658,2.961,2.558,63.8,100.3428,2476.0,4.444,1121.0,472716,1407,1189.0,240.5,575068,9937,200.03,4.0,7.4
2018-04-30,0.397509156,7224,20492.492,11.7,2.97,2.568,63.9,102.2486,2540.33,4.4675,1123.0,473172,1391,1213.0,242.7,576621,10113,200.868,4.0,6.5
2018-05-31,0.415891693,7263,20548.032,11.68,2.99,2.568,63.9,104.4935,2540.33,4.586,1130.0,474349,1331,1263.0,245.0,579548,9974,201.682,3.8,4.4
2018-06-30,0.15938757,7279,20603.572,11.66,3.01,2.568,63.9,102.1195,2540.33,4.57,1125.0,462564,1320,1216.0,245.0,570055,9971,202.485,4.0,4.7
2018-07-31,0.006746326,7303,20659.102,11.641,3.019,2.574,63.9,102.2554,2441.33,4.5275,1125.0,462554,1328,1169.0,245.1,559371,10006,203.097,3.8,3.4
2018-08-31,0.055554233,7332,20710.512,11.701,3.029,2.584,63.9,101.8867,2441.33,4.55,1130.0,465457,1264,1246.0,250.6,548672,9885,203.865,3.8,3.4
2018-09-30,0.116202518,7355,20761.922,11.761,3.039,2.594,63.9,100.1267,2441.33,4.6275,1135.0,462496,1289,1174.0,250.6,548741,9818,204.421,3.7,4.1
2018-10-31,0.176676346,7379,20813.325,11.82,3.055,2.618,63.93,100.1888,2600.33,4.83,1142.0,459209,1275,1116.0,250.6,533269,9907,205.025,3.8,3.6
2018-11-30,-0.334934852,7386,20876.085,11.93,3.065,2.668,63.96,97.8219,2600.33,4.866,1144.0,448823,1318,1142.0,250.6,535057,9917,205.453,3.8,3.9
2018-12-31,-0.319396282,7416,20938.845,12.04,3.075,2.718,63.99,99.0561,2600.33,4.6375,1149.0,458495,1338,1052.0,249.0,516342,9884,205.83,3.9,5.1
2019-01-31,0.190659667,7446,21001.591,12.146,3.071,2.774,64.2,108.0762,2498.0,4.464,1154.0,463513,1295,1246.0,250.7,519565,9787,206.213,4.0,6.4
2019-02-28,0.422705314,7415,21097.481,12.086,3.0410000000000004,2.784,64.3,102.6641,2498.0,4.37,1142.0,469400,1304,1337.0,250.5,519977,9862,206.649,3.8,6.2
2019-03-31,0.564135836,7439,21193.371,12.026000000000002,3.011,2.794,64.4,101.9841,2498.0,4.265,1125.0,479943,1316,1316.0,252.4,521651,10008,207.209,3.8,5.2
2019-04-30,0.529500161,7471,21289.268,11.968,2.974,2.791,64.5,102.6135,2550.67,4.1425,1122.0,482738,1337,1312.0,253.3,527291,10073,207.928,3.7,4.7
2019-05-31,0.212875859,7478,21361.178,11.848,2.9240000000000004,2.771,64.5,101.4282,2550.67,4.072,1131.0,491227,1337,1235.0,256.5,532890,10074,208.626,3.7,3.2
2019-06-30,0.019914718,7499,21433.088,11.728,2.874,2.751,64.47,100.9817,2550.67,3.8025,1143.0,500180,1276,1170.0,254.1,541719,10071,209.112,3.6,4.0
2019-07-31,0.167094162,7503,21505.012,11.595,2.831,2.725,64.44,103.8818,2502.0,3.765,1143.0,509511,1369,1242.0,253.4,552029,10067,209.633,3.6,3.8
2019-08-31,-0.005066824,7506,21568.162,11.555,2.791,2.685,64.41,104.6386,2502.0,3.616,1151.0,516778,1479,1272.0,252.1,556709,10082,210.357,3.7,3.6
2019-09-30,0.078344858,7524,21631.312,11.515,2.751,2.645,64.4,107.698,2502.0,3.605,1160.0,516755,1439,1136.0,253.4,559629,10177,210.998,3.5,3.2
2019-10-31,0.228619055,7544,21694.458,11.463,2.696,2.597,64.47,103.9359,2585.33,3.688,1160.0,519535,1509,1279.0,251.1,561262,10120,211.606,3.6,4.0
2019-11-30,-0.053624303,7546,21623.428,11.473,2.6860000000000004,2.657,64.54,100.9403,2585.33,3.695,1166.0,526675,1509,1252.0,251.9,572412,10219,212.43,3.6,4.4
2019-12-31,-0.090976953,7557,21552.398,11.483,2.676,2.717,64.61,103.3535,2585.33,3.72,1179.0,520012,1453,1308.0,252.7,581530,9990,213.372,3.6,5.0
2020-01-31,0.387976994,7615,21481.367,11.488,2.658,2.77,64.2,114.0748,2486.67,3.624,1196.0,526954,1550,1288.0,252.9,591497,10475,214.41,3.5,5.4
2020-02-29,0.274061813,7648,20813.397,11.258,2.668,2.8,64.23,108.1299,2486.67,3.4650000000000003,1216.0,520487,1478,1294.0,253.7,609742,10456,215.474,3.5,5.5
2020-03-31,-0.217645103,7557,20145.427,11.028,2.678,2.83,64.26,103.5584,2486.67,3.45,1215.0,514802,1382,1267.0,257.2,617567,8225,216.632,4.4,6.9
2020-04-30,-0.668694187,6535,19477.444,10.795,2.679,2.851,64.29,96.947,2545.67,3.306,1194.0,488521,1094,1191.0,257.6,597672,4160,217.495,14.8,16.6
2020-05-31,0.001950162,7004,20031.154,10.655,2.629,2.801,64.3,99.1911,2545.67,3.2325,1179.0,479172,1246,1178.0,263.3,584171,7349,217.801,13.3,12.7
2020-06-30,0.547204693,7171,20584.864,10.515,2.579,2.751,64.42999999999999,103.7352,2545.67,3.1625,1187.0,480422,1296,1243.0,263.3,590445,10104,218.36,11.1,10.1
2020-07-31,0.50582435,7197,21138.574,10.377,2.534,2.688,64.56,102.3294,2468.0,3.016,1199.0,475021,1542,1340.0,261.4,608617,10346,219.915,10.2,8.9
2020-08-31,0.315321052,7223,21251.584,10.437,2.534,2.708,64.69,100.7609,2468.0,2.935,1212.0,466127,1522,1216.0,261.4,632725,10812,222.704,8.4,7.6
2020-09-30,0.139274694,7256,21364.594,10.497,2.534,2.728,64.7,100.6016,2468.0,2.89,1218.0,458779,1589,1426.0,263.3,648272,10843,225.908,7.8,7.1
2020-10-31,0.041493776,7329,21477.597,10.561,2.533,2.744,64.8,102.4985,2621.33,2.834,1228.0,456022,1595,1356.0,263.3,664062,10864,229.41,6.9,6.8
2020-11-30,-0.061062722,7353,21664.477000000003,10.621,2.543,2.764,64.9,109.141,2621.33,2.765,1247.0,447290,1696,1244.0,263.3,684497,10705,232.643,6.7,7.3
2020-12-31,0.094147847,7400,21851.357,10.681,2.553,2.7840000000000003,65.0,111.1357,2621.33,2.684,1264.0,442157,1758,1386.0,263.3,704835,10621,235.604,6.7,9.6
